ID,Kieli,Lekseemi,Sanaluokka,Jatkoleksikko,Taivutustyyppi
6481,sms,lääiʹjtem,A,A_NALLSHEM,1
6482,sms,straaŋgteʹm,A,A_NALLSHEM,1
6550,sms,slavvnoi,A,A_,X
6551,sms,lääskav,A,A_AANAR,2
6552,sms,vääimlaž,A,A_MEERSAZH,1
6559,sms,ålvvai,A,A_PRSPRC-VXYY-AI,X
6561,sms,rippõõvvi,A,A_PRSPRC-VVCC-I,X
6596,sms,pââʹss,A,N_CHAAQCC,1
6617,sms,väivvuum,A,A_PSS-PRFPRC,X
6618,sms,mueʹǩǩuum,A,A_PSS-PRFPRC,X
6651,sms,hoʹhssjeei,A,A_PRSPRC-EEI,3
6652,sms,aicci,A,A_PRSPRC-VXYY-I,X
6708,sms,õllʼjummõs,A,A_SAJOS,1
6747,sms,pâilmiõllsaž,A,A_MEERSAZH,1
6751,sms,vuõʹǩǩes,A,A-ATTR_,X
6802,sms,heäʹrvvnallšem,A,A_NALLSHEM,1
6819,sms,ǩeâllsam,A,A_,X
6873,sms,eeʹžža,A,A_,X
6885,sms,kåikkai,A,A_PRSPRC-VXYY-AI,X
6887,sms,käärǥõʹstti,A,A_PRSPRC-VXYY-I,X
6897,sms,pieʹllvaalmâš,A,A_VAALMYSH,X
6899,sms,kuʹǩesjoorbâs,A,A_JOOSKYS,X
6900,sms,kuʹǩesjorbb,A,A-ATTR_,X
6936,sms,vi),A,A_,X
6951,sms,ceelteei,A,A_PRSPRC-EEI,3
6976,sms,kârruum,A,A_PSS-PRFPRC,X
6978,sms,rävvsmeei,A,A_PRSPRC-EEI,3
6982,sms,livvteejas,A,A-ATTR_,X
6986,sms,vâʹrddeei,A,A_PRSPRC-EEI,3
6987,sms,âʹvveei,A,A_PRSPRC-EEI,3
6988,sms,kolggi,A,A_PRSPRC-VXYY-I,X
6992,sms,kueʹlǩǩeei,A,A_PRSPRC-EEI,3
7061,sms,tuurri,A,A_PRSPRC-VVCC-I,X
7063,sms,čaʹjjõʹtti,A,A_PRSPRC-VCC-I,X
7100,sms,čookklõs,A,A-ATTR_,X
7101,sms,čookkâl,A,A_AANAR,2
7103,sms,iʹlbbes,A,A-ATTR_,X
7107,sms,čuõvvneei,A,A_PRSPRC-EEI,3
7108,sms,peeiʹvtõõvvi,A,A_PRSPRC-VVCC-I,X
7182,sms,tårmmjam,A,A_,X
7217,sms,lõʹbddes,A,A-ATTR_,X
7218,sms,lõbddi,A,A_PRSPRC-VXYY-I,X
7222,sms,lääiʹvab,A,A_IS_ADJ-DER/COMP_ab,X
7235,sms,skandinaavlaž,A,A_MEERSAZH,1
7245,sms,vååster,A,A_AANAR,2
7246,sms,vååstrõs,A,A-ATTR_,X
7262,sms,läʹbǯǯlååʹjj,A,A_SAAQMM,1
7266,sms,systtemaatlaž,A,A_MEERSAZH,1
7272,sms,suuddtem,A,A_NALLSHEM,1
7274,sms,suuddteʹm,A,A_NALLSHEM,1
7280,sms,porstõõvvi,A,A_PRSPRC-VVCC-I,X
7286,sms,vännšeei,A,A_PRSPRC-EEI,3
7304,sms,peivvõʹtti,A,A_PRSPRC-VCC-I,X
7312,sms,ǩirrlâž,A,A_,X
7342,sms,puõlvvkookka,A,A_,X
7353,sms,ǩiõlʼlaž,A,A_MEERSAZH,1
